geoid,pct_poverty,median_household_income,pct_hispanic,pct_black_nonhispanic,pct_white_nonhispanic,pct_asian_nonhispanic,pct_minority,households,pct_limited_or_no_english
17031030101,17.5,49132,9.1,20.2,47.1,17.8,52.9,2162,6.4
17031030701,19.7,51625,12.9,33.2,45.7,5.6,54.3,894,1.9
17031070103,13.4,76477,6.3,8.7,69.2,6.1,30.8,1133,0
17031770602,3.8,85913,54.8,1,32.7,8.7,67.3,1541,18.8
17031841200,14,62819,83,2.5,13.6,0,86.4,1796,13.3
17031831900,10.8,131567,8.5,2.3,80.3,5.8,19.7,1435,0.9
17031832600,2.2,211324,4.5,1,85,3.6,15,1734,0.2
17031836900,73.4,43333,11.8,84.1,2,0,98,644,0
17031842300,10.3,173082,6.9,15.4,61,8.5,39,1752,0.5
17031839500,15.1,55625,20.2,51.8,13.6,3.8,86.4,777,1.8
17031835800,19.8,84500,9.2,89.9,0.2,0,99.8,916,0.5
17031838800,42.9,24432,43.2,52,1.9,0,98.1,1082,17.6
17031843400,17.4,43021,45.4,54.1,0,0,100,475,8.7
17031842600,16.1,91667,39.7,5.5,37,12.9,63,1620,11.2
17031841900,13.5,136955,12.9,20.4,39.8,22.2,60.2,1669,3.1
17031843200,13.5,70525,61.3,2.1,32.7,1.6,67.3,983,13.1
17031301803,13,59213,97.2,0,2.8,0,97.2,1179,18.2
17031320101,3.6,129221,7.8,9.2,55.1,21.6,44.9,5481,5.6
17031330103,13.8,122957,5.8,22.8,57.5,11.5,42.5,4902,1
17031380600,32,35804,2.4,67.7,13.5,1.5,86.5,2087,0.4
17031330102,0.9,110464,9.2,25.9,45.4,15.1,54.6,6366,0
17031330101,6,181013,6.3,4.2,54.4,28.1,45.6,2709,6.3
17031460800,40,33048,41,57.8,0.8,0.4,99.2,1370,12.1
17031630600,31.4,48398,86,8.1,4.7,1.2,95.3,855,19.4
17031490200,13.7,65268,0.5,90.8,3.4,0.9,96.6,1391,0.3
17031612200,25.5,46227,61.8,33.7,0,4.6,100,1155,20.2
17031844700,28.1,69583,27.6,67.8,1.7,1.5,98.3,683,4
