CCA,est_total,est_hispanic,est_white_nonhispanic,est_black_nonhispanic,est_asian_nonhispanic,pct_hispanic,pct_white_nonhispanic,pct_black_nonhispanic,pct_asian_nonhispanic,pct_minority
Albany Park,46620.0,20723.0,15530.0,1761.0,7014.0,0.4445087945087945,0.3331188331188331,0.037773487773487775,0.15045045045045044,0.6668811668811668
Archer Heights,14021.0,11414.0,1706.0,152.0,670.0,0.8140646173596747,0.1216746309107767,0.010840881534840596,0.04778546466015263,0.8783253690892233
Armour Square,14246.256914361878,725.2529156947684,2219.6004665111627,1732.3148950349882,9063.503832055982,0.05090831367526647,0.1558023612696152,0.1215978979916201,0.6362024696409145,0.8441976387303848
Ashburn,42079.0,19507.0,3577.0,18114.0,291.0,0.46358040827966446,0.08500677297464293,0.43047600941087005,0.006915563582784762,0.914993227025357
Auburn Gresham,45049.0,1785.0,374.0,41894.0,323.0,0.03962352105485138,0.008302071078159338,0.9299651490599126,0.007169970476592155,0.9916979289218406
Austin,98882.0,20417.0,5558.0,70285.0,591.0,0.20647842883436823,0.056208410024069094,0.7107967071863434,0.0059768208571833095,0.9437915899759309
Avalon Park,9446.869230769229,80.72756410256409,26.989102564102563,8854.054166666665,9.0,0.008545430462785256,0.0028569361875145725,0.9372474573722566,0.0009526965791678645,0.9971430638124854
Avondale,35489.0,18169.0,13220.0,1011.0,1703.0,0.5119614528445434,0.37250979176646287,0.028487700414212856,0.04798670010425766,0.6274902082335372
Belmont Cragin,72918.0,57695.0,9546.0,2389.0,2067.0,0.791231246057215,0.13091417756932444,0.03276282947968952,0.02834691022792726,0.8690858224306756
Beverly,19570.0,1338.0,11067.0,6107.0,136.0,0.0683699540112417,0.5655084312723556,0.3120592743995912,0.0069494123658661216,0.43449156872764433
Bridgeport,33083.74308563812,7456.7470843052315,10465.399533488837,877.6851049650116,13480.496167944018,0.2253900674117572,0.3163305768152921,0.02652919600702681,0.40746587026290854,0.6836694231847079
Brighton Park,42062.0,33094.0,2953.0,915.0,4827.0,0.7867909276781894,0.0702058865484285,0.021753601825876087,0.11475916504208074,0.9297941134515715
Burnside,2148.0,111.0,0.0,1972.0,0.0,0.051675977653631286,0.0,0.9180633147113594,0.0,1.0
Calumet Heights,11645.0,659.0,54.0,10716.0,26.0,0.05659081150708459,0.004637183340489481,0.920223271790468,0.0022327179046801203,0.9953628166595105
Chatham,30783.130769230767,913.2724358974359,548.0108974358974,28710.94583333333,78.0,0.02966795166949997,0.01780231197223321,0.9326843994059018,0.002533855330854287,0.9821976880277667
Chicago Lawn,53460.0,33000.0,1129.0,17835.0,290.0,0.6172839506172839,0.021118593340815565,0.3336139169472503,0.005424616535727646,0.9788814066591844
Clearing,24924.0,16059.0,8065.0,356.0,125.0,0.6443187289359653,0.32358369443107043,0.014283421601669073,0.005015246348900658,0.6764163055689295
Douglas,21756.0,1578.0,1980.0,13810.0,2951.0,0.07253171538885825,0.09100937672366244,0.6347674204817062,0.13564074278359992,0.9089906232763376
Dunning,41816.0,14815.0,22674.0,912.0,2394.0,0.35429022383776543,0.542232638224603,0.021809833556533386,0.05725081308590013,0.45776736177539695
East Garfield Park,20526.0,1699.0,1355.0,17075.0,121.0,0.08277306830361493,0.06601383611029914,0.8318717723862419,0.005894962486602358,0.9339861638897009
East Side,22712.075563822367,19536.72236689142,2464.9002557544754,497.91764705882355,45.72941176470589,0.8601909725067617,0.10852818135568236,0.021923035860797642,0.0020134404553297366,0.8914718186443176
Edgewater,56146.0,8648.0,30039.0,6930.0,7112.0,0.15402700103302105,0.5350158515299398,0.12342820503686816,0.12666975385601822,0.4649841484700602
Edison Park,11203.0,1542.0,9039.0,45.0,190.0,0.137641703115237,0.806837454253325,0.004016781219316255,0.016959742926001962,0.193162545746675
Englewood,21411.0,1502.0,300.0,18849.0,176.0,0.07015085703610294,0.014011489421325487,0.8803418803418803,0.008220073793844285,0.9859885105786745
