street_address,zip,row,cleaned_address,is_intersection,stnum1,stnum2,stdir,stname,sttype,full_address,lat,long,score,matched_address,m_is_intersection,m_street,m_stnum1,m_stnum2,m_stdir,m_stname,m_sttype,m_zip
5852 W 51ST ST,60638,130002,5852 W 51ST ST,FALSE,5852,5852,W,51ST,ST,"5852 W 51ST ST, CHICAGO IL 60638",41.800794001576,-87.769509976622,100,"5852 W 51ST ST, CHICAGO, IL, 60638",FALSE,5852 W 51ST ST,5852,5852,W,51ST,ST, 60638
5203 W 47TH ST,60638,130401,5203 W 47TH ST,FALSE,5203,5203,W,47TH,ST,"5203 W 47TH ST, CHICAGO IL 60638",41.807194003746,-87.753223016743,100,"5203 W 47TH ST, CHICAGO, IL, 60638",FALSE,5203 W 47TH ST,5203,5203,W,47TH,ST, 60638
5330 W 47TH ST,60402,130402,5330 W 47TH ST,FALSE,5330,5330,W,47TH,ST,"5330 W 47TH ST, CHICAGO IL 60402",41.807872015893,-87.756571000329,99.03,"5330 W 47TH ST, CHICAGO, IL, 60638",FALSE,5330 W 47TH ST,5330,5330,W,47TH,ST, 60638
5400 W 47TH ST,60402,130403,5400 W 47TH ST,FALSE,5400,5400,W,47TH,ST,"5400 W 47TH ST, CHICAGO IL 60402",41.808431005016,-87.758244028202,99.03,"5400 W 47TH ST, CHICAGO, IL, 60638",FALSE,5400 W 47TH ST,5400,5400,W,47TH,ST, 60638
5401 W 47TH ST,60402,130404,5401 W 47TH ST,FALSE,5401,5401,W,47TH,ST,"5401 W 47TH ST, CHICAGO IL 60402",41.806974020697,-87.758280992395,99.03,"5401 W 47TH ST, CHICAGO, IL, 60638",FALSE,5401 W 47TH ST,5401,5401,W,47TH,ST, 60638
5401 W 47TH ST,60402,130405,5401 W 47TH ST,FALSE,5401,5401,W,47TH,ST,"5401 W 47TH ST, CHICAGO IL 60402",41.806974020697,-87.758280992395,99.03,"5401 W 47TH ST, CHICAGO, IL, 60638",FALSE,5401 W 47TH ST,5401,5401,W,47TH,ST, 60638
5440 W 47TH ST,60402,130406,5440 W 47TH ST,FALSE,5440,5440,W,47TH,ST,"5440 W 47TH ST, CHICAGO IL 60402",41.807481959603,-87.759195608776,99.03,"5440 W 47TH ST, CHICAGO, IL, 60638",FALSE,5440 W 47TH ST,5440,5440,W,47TH,ST, 60638
5448 W 47TH ST,60402,130407,5448 W 47TH ST,FALSE,5448,5448,W,47TH,ST,"5448 W 47TH ST, CHICAGO IL 60402",41.808093004771,-87.759426966198,99.03,"5448 W 47TH ST, CHICAGO, IL, 60638",FALSE,5448 W 47TH ST,5448,5448,W,47TH,ST, 60638
5500 W 47TH ST,60402,130408,5500 W 47TH ST,FALSE,5500,5500,W,47TH,ST,"5500 W 47TH ST, CHICAGO IL 60402",41.810963010327,-87.758628003187,99.03,"5500 W 47TH ST, CHICAGO, IL, 60638",FALSE,5500 W 47TH ST,5500,5500,W,47TH,ST, 60638
5504 W 47TH ST,60402,130409,5504 W 47TH ST,FALSE,5504,5504,W,47TH,ST,"5504 W 47TH ST, CHICAGO IL 60402",41.808196982279,-87.760504040756,99.03,"5504 W 47TH ST, CHICAGO, IL, 60638",FALSE,5504 W 47TH ST,5504,5504,W,47TH,ST, 60638
6050 W 51ST ST,60638,130410,6050 W 51ST ST,FALSE,6050,6050,W,51ST,ST,"6050 W 51ST ST, CHICAGO IL 60638",41.800489989948,-87.77417098534,100,"6050 W 51ST ST, CHICAGO, IL, 60638",FALSE,6050 W 51ST ST,6050,6050,W,51ST,ST, 60638
4901 S AUSTIN AVE,60402,130411,4901 S AUSTIN AVE,FALSE,4901,4901,S,AUSTIN,AVE,"4901 S AUSTIN AVE, CHICAGO IL 60402",41.803167002184,-87.771811982511,99.03,"4901 S AUSTIN AVE, CHICAGO, IL, 60638",FALSE,4901 S AUSTIN AVE,4901,4901,S,AUSTIN,AVE, 60638
4924 S AUSTIN AVE,60402,130412,4924 S AUSTIN AVE,FALSE,4924,4924,S,AUSTIN,AVE,"4924 S AUSTIN AVE, CHICAGO IL 60402",41.802247004491,-87.772693004353,99.03,"4924 S AUSTIN AVE, CHICAGO, IL, 60638",FALSE,4924 S AUSTIN AVE,4924,4924,S,AUSTIN,AVE, 60638
6000 W 51ST ST,60638,130413,6000 W 51ST ST,FALSE,6000,6000,W,51ST,ST,"6000 W 51ST ST, CHICAGO IL 60638",41.801460991521,-87.772872963814,100,"6000 W 51ST ST, CHICAGO, IL, 60638",FALSE,6000 W 51ST ST,6000,6000,W,51ST,ST, 60638
4655 S CENTRAL AVE,60402,130414,4655 S CENTRAL AVE,FALSE,4655,4655,S,CENTRAL,AVE,"4655 S CENTRAL AVE, CHICAGO IL 60402",41.808427987531,-87.761814970412,99.03,"4655 S CENTRAL AVE, CHICAGO, IL, 60638",FALSE,4655 S CENTRAL AVE,4655,4655,S,CENTRAL,AVE, 60638
3633 W 116TH PL,60655,130416,3633 W 116TH PL,FALSE,3633,3633,W,116TH,PL,"3633 W 116TH PL, CHICAGO IL 60655",41.681134999581,-87.71159102568,99.42,"3633 W 116TH PL, ALSIP, IL, 60803",FALSE,3633 W 116TH PL,3633,3633,W,116TH,PL, 60803
3641 W 116TH PL,60655,130418,3641 W 116TH PL,FALSE,3641,3641,W,116TH,PL,"3641 W 116TH PL, CHICAGO IL 60655",41.681152014845,-87.711947005108,99.42,"3641 W 116TH PL, ALSIP, IL, 60803",FALSE,3641 W 116TH PL,3641,3641,W,116TH,PL, 60803
