street_address,zip,row,cleaned_address,is_intersection,stnum1,stnum2,stdir,stname,sttype,full_address,lat,long,score,matched_address,m_is_intersection,m_street,m_stnum1,m_stnum2,m_stdir,m_stname,m_sttype,m_zip
10300 S STATE LINE ROAD,60633,130871,10300 S STATE LINE ROAD,FALSE,10300,10300,S,STATE LINE ROAD,,"10300 S STATE LINE ROAD, CHICAGO IL 60633",41.634197301884,-87.525086846844,94.7,"S STATE LINE RD, CHICAGO, IL, 60633",FALSE,S STATE LINE RD,,,S,STATE LINE,RD,60633
S LOOMIS,60607,131172,S LOOMIS,FALSE,,,S,LOOMIS,,"S LOOMIS, CHICAGO IL 60607",41.883229793106,-87.663241108522,98.47,"LOOMIS, CHICAGO, IL, 60607",FALSE,LOOMIS,,,,,,60607
S HALSTED ST,60608,131173,S HALSTED ST,FALSE,,,S,HALSTED,ST,"S HALSTED ST, CHICAGO IL 60608",41.838276495798,-87.646281211321,100,"S HALSTED ST, CHICAGO, IL, 60608",FALSE,S HALSTED ST,,,S,HALSTED,ST,60608
S CALIFORNIA AVE,60647,131180,S CALIFORNIA AVE,FALSE,,,S,CALIFORNIA,AVE,"S CALIFORNIA AVE, CHICAGO IL 60647",41.921149533449,-87.697289337692,98.51,"N CALIFORNIA AVE, CHICAGO, IL, 60647",FALSE,N CALIFORNIA AVE,,,N,CALIFORNIA,AVE,60647
S KEELER,60624,131190,S KEELER,FALSE,,,S,KEELER,,"S KEELER, CHICAGO IL 60624",41.871912078122,-87.730220085977,98.46,"S KEELER AVE, CHICAGO, IL, 60624",FALSE,S KEELER AVE,,,S,KEELER,AVE,60624
S LAVERGNE,60402,131191,S LAVERGNE,FALSE,,,S,LAVERGNE,,"S LAVERGNE, CHICAGO IL 60402",41.80845759198,-87.7480348097,87.47,"S LAVERGNE AVE, CHICAGO, IL, 60638",FALSE,S LAVERGNE AVE,,,S,LAVERGNE,AVE,60638
S KOSTNER,60623,131192,S KOSTNER,FALSE,,,S,KOSTNER,,"S KOSTNER, CHICAGO IL 60623",41.856269236998,-87.734649726426,98.46,"S KOSTNER AVE, CHICAGO, IL, 60623",FALSE,S KOSTNER AVE,,,S,KOSTNER,AVE,60623
S CENTRAL AVE,60201,131193,S CENTRAL AVE,FALSE,,,S,CENTRAL,AVE,"S CENTRAL AVE, CHICAGO IL 60201",41.760659199064,-87.761102599006,93,"S CENTRAL AVE, CHICAGO, IL, 60638",FALSE,S CENTRAL AVE,,,S,CENTRAL,AVE,60638
9830 S GREEN BAY AVE,60617,146728,9830 S GREEN BAY AVE,FALSE,9830,9830,S,GREEN BAY,AVE,"9830 S GREEN BAY AVE, CHICAGO IL 60617",41.69549982353,-87.541321974418,95.33,"S GREEN BAY AVE, CHICAGO, IL, 60617",FALSE,S GREEN BAY AVE,,,S,GREEN BAY,AVE,60617
6410 N PARIS AVE,60634,166228,6410 N PARIS AVE,FALSE,6410,6410,N,PARIS,AVE,"6410 N PARIS AVE, CHICAGO IL 60634",41.944938920115,-87.830261322144,94.81,"N PARIS AVE, CHICAGO, IL, 60634",FALSE,N PARIS AVE,,,N,PARIS,AVE,60634
600 E RANDOLPH ST,60602,218921,600 E RANDOLPH ST,FALSE,600,600,E,RANDOLPH,ST,"600 E RANDOLPH ST, CHICAGO IL 60602",41.884534490163,-87.62708455631,96.25,"E RANDOLPH ST, CHICAGO, IL, 60602",FALSE,E RANDOLPH ST,,,E,RANDOLPH,ST,60602
S ASHLAND AVE,60608,219996,S ASHLAND AVE,FALSE,,,S,ASHLAND,AVE,"S ASHLAND AVE, CHICAGO IL 60608",41.842455335019,-87.6659028311,100,"S ASHLAND AVE, CHICAGO, IL, 60608",FALSE,S ASHLAND AVE,,,S,ASHLAND,AVE,60608
W JACKSON BRIDGE,60606,220048,W JACKSON BRIDGE,FALSE,,,W,JACKSON BRIDGE,,"W JACKSON BRIDGE, CHICAGO IL 60606",41.878085896813,-87.635320154225,97.44,"W JACKSON BLVD, CHICAGO, IL, 60606",FALSE,W JACKSON BLVD,,,W,JACKSON,BLVD,60606
