street_address,zip,row,cleaned_address,is_intersection,stnum1,stnum2,stdir,stname,sttype,full_address,lat,long,matched_address,geocoder,m_is_intersection,m_street,m_stnum1,m_stnum2,m_stdir,m_stname,m_sttype,m_zip
55 E CARVER PLZ,60653,27626,55 E CARVER PLZ,FALSE,55,55,E,CARVER,PLZ,"55 E CARVER PLZ, CHICAGO IL 60653",41.826997,-87.624287,"55 E CARVER PLAZA, CHICAGO, IL, 60653",Bing,FALSE,55 E CARVER PLAZA,55,55,E,CARVER PLAZA,, 60653
57 E CARVER PLZ,60653,27627,57 E CARVER PLZ,FALSE,57,57,E,CARVER,PLZ,"57 E CARVER PLZ, CHICAGO IL 60653",41.826997,-87.624275,"57 E CARVER PLAZA, CHICAGO, IL, 60653",Bing,FALSE,57 E CARVER PLAZA,57,57,E,CARVER PLAZA,, 60653
71 E CARVER PLZ,60653,27628,71 E CARVER PLZ,FALSE,71,71,E,CARVER,PLZ,"71 E CARVER PLZ, CHICAGO IL 60653",41.826996,-87.624189,"71 E CARVER PLAZA, CHICAGO, IL, 60653",Bing,FALSE,71 E CARVER PLAZA,71,71,E,CARVER PLAZA,, 60653
73 E CARVER PLZ,60653,27629,73 E CARVER PLZ,FALSE,73,73,E,CARVER,PLZ,"73 E CARVER PLZ, CHICAGO IL 60653",41.826996,-87.624177,"73 E CARVER PLAZA, CHICAGO, IL, 60653",Bing,FALSE,73 E CARVER PLAZA,73,73,E,CARVER PLAZA,, 60653
111 E CARVER PLZ,60653,27630,111 E CARVER PLZ,FALSE,111,111,E,CARVER,PLZ,"111 E CARVER PLZ, CHICAGO IL 60653",41.826993,-87.623945,"111 E CARVER PLAZA, CHICAGO, IL, 60653",Bing,FALSE,111 E CARVER PLAZA,111,111,E,CARVER PLAZA,, 60653
1260 W WESTGATE TER,60607,27988,1260 W WESTGATE TER,FALSE,1260,1260,W,WESTGATE,TER,"1260 W WESTGATE TER, CHICAGO IL 60607",41.8739938,-87.6591547,"1260 W WESTGATE TERRACE, CHICAGO, IL, 60607",Bing,FALSE,1260 W WESTGATE TERRACE,1260,1260,W,WESTGATE TERRACE,, 60607
1262 W WESTGATE TER,60607,27989,1262 W WESTGATE TER,FALSE,1262,1262,W,WESTGATE,TER,"1262 W WESTGATE TER, CHICAGO IL 60607",41.8738126,-87.6592817,"1262 W WESTGATE TERRACE, CHICAGO, IL, 60607",Bing,FALSE,1262 W WESTGATE TERRACE,1262,1262,W,WESTGATE TERRACE,, 60607
1264 W WESTGATE TER,60607,27990,1264 W WESTGATE TER,FALSE,1264,1264,W,WESTGATE,TER,"1264 W WESTGATE TER, CHICAGO IL 60607",41.8738122,-87.6593521,"1264 W WESTGATE TERRACE, CHICAGO, IL, 60607",Bing,FALSE,1264 W WESTGATE TERRACE,1264,1264,W,WESTGATE TERRACE,, 60607
1271 W WESTGATE TER,60607,27991,1271 W WESTGATE TER,FALSE,1271,1271,W,WESTGATE,TER,"1271 W WESTGATE TER, CHICAGO IL 60607",41.8733803,-87.6590886,"1271 W WESTGATE TERRACE, CHICAGO, IL, 60607",Bing,FALSE,1271 W WESTGATE TERRACE,1271,1271,W,WESTGATE TERRACE,, 60607
1309 W WESTGATE TER,60607,27992,1309 W WESTGATE TER,FALSE,1309,1309,W,WESTGATE,TER,"1309 W WESTGATE TER, CHICAGO IL 60607",41.8736033,-87.6598157,"1309 W WESTGATE TERRACE, CHICAGO, IL, 60607",Bing,FALSE,1309 W WESTGATE TERRACE,1309,1309,W,WESTGATE TERRACE,, 60607
1302 W WESTGATE TER,60607,27993,1302 W WESTGATE TER,FALSE,1302,1302,W,WESTGATE,TER,"1302 W WESTGATE TER, CHICAGO IL 60607",41.8740091,-87.6596261,"1302 W WESTGATE TERRACE, CHICAGO, IL, 60607",Bing,FALSE,1302 W WESTGATE TERRACE,1302,1302,W,WESTGATE TERRACE,, 60607
1306 W WESTGATE TER,60607,27994,1306 W WESTGATE TER,FALSE,1306,1306,W,WESTGATE,TER,"1306 W WESTGATE TER, CHICAGO IL 60607",41.8740313,-87.6596969,"1306 W WESTGATE TERRACE, CHICAGO, IL, 60607",Bing,FALSE,1306 W WESTGATE TERRACE,1306,1306,W,WESTGATE TERRACE,, 60607
1316 W WESTGATE TER,60607,27995,1316 W WESTGATE TER,FALSE,1316,1316,W,WESTGATE,TER,"1316 W WESTGATE TER, CHICAGO IL 60607",41.8739477,-87.6601028,"1316 W WESTGATE TERRACE, CHICAGO, IL, 60607",Bing,FALSE,1316 W WESTGATE TERRACE,1316,1316,W,WESTGATE TERRACE,, 60607
1318 W WESTGATE TER,60607,27996,1318 W WESTGATE TER,FALSE,1318,1318,W,WESTGATE,TER,"1318 W WESTGATE TER, CHICAGO IL 60607",41.8740036,-87.6601047,"1318 W WESTGATE TERRACE, CHICAGO, IL, 60607",Bing,FALSE,1318 W WESTGATE TERRACE,1318,1318,W,WESTGATE TERRACE,, 60607
1320 W WESTGATE TER,60607,27997,1320 W WESTGATE TER,FALSE,1320,1320,W,WESTGATE,TER,"1320 W WESTGATE TER, CHICAGO IL 60607",41.8740579,-87.6601089,"1320 W WESTGATE TERRACE, CHICAGO, IL, 60607",Bing,FALSE,1320 W WESTGATE TERRACE,1320,1320,W,WESTGATE TERRACE,, 60607
1327 N SANDBURG TER,60610,29569,1327 N SANDBURG TER,FALSE,1327,1327,N,SANDBURG,TER,"1327 N SANDBURG TER, CHICAGO IL 60610",41.9064958,-87.6318629,"1327 N SANDBURG TERRACE, CHICAGO, IL, 60610",Bing,FALSE,1327 N SANDBURG TERRACE,1327,1327,N,SANDBURG TERRACE,, 60610
1329 N SANDBURG TER,60610,44448,1329 N SANDBURG TER,FALSE,1329,1329,N,SANDBURG,TER,"1329 N SANDBURG TER, CHICAGO IL 60610",41.9065882,-87.6318751,"1329 N SANDBURG TERRACE, CHICAGO, IL, 60610",Bing,FALSE,1329 N SANDBURG TERRACE,1329,1329,N,SANDBURG TERRACE,, 60610
1331 N SANDBURG TER,60610,44449,1331 N SANDBURG TER,FALSE,1331,1331,N,SANDBURG,TER,"1331 N SANDBURG TER, CHICAGO IL 60610",41.9066465,-87.631877,"1331 N SANDBURG TERRACE, CHICAGO, IL, 60610",Bing,FALSE,1331 N SANDBURG TERRACE,1331,1331,N,SANDBURG TERRACE,, 60610
1333 N SANDBURG TER,60610,44450,1333 N SANDBURG TER,FALSE,1333,1333,N,SANDBURG,TER,"1333 N SANDBURG TER, CHICAGO IL 60610",41.9067041,-87.631879,"1333 N SANDBURG TERRACE, CHICAGO, IL, 60610",Bing,FALSE,1333 N SANDBURG TERRACE,1333,1333,N,SANDBURG TERRACE,, 60610
