street_address,zip,row,cleaned_address,is_intersection,stnum1,stnum2,stdir,stname,sttype,full_address,lat,long,matched_address,geocoder,m_is_intersection,m_street,m_stnum1,m_stnum2,m_stdir,m_stname,m_sttype,m_zip
11700 S FRONT AVE,60628,112036,11700 S,FALSE,11700,11700,S,FRONT,AVE,"11700 S FRONT AVE, CHICAGO IL 60628",41.6817417,-87.6388336,"11700 S LOWE AVE, CHICAGO, IL, 60628",Bing,FALSE,11700 S LOWE AVE,11700,11700,S,LOWE,AVE,60628
11728-42 S FRONT AVE,60628,153989,11728-42 S,FALSE,11728,11742,S,FRONT,AVE,"11728-42 S FRONT AVE, CHICAGO IL 60628",41.680721,-87.625506,"11728 S PERRY AVE, CHICAGO, IL, 60628",Bing,FALSE,11728 S PERRY AVE,11728,11728,S,PERRY,AVE,60628
11328-32 S FRONT AVE,60628,155128,11328-32 S,FALSE,11328,11332,S,FRONT,AVE,"11328-32 S FRONT AVE, CHICAGO IL 60628",41.68812538,-87.62575909,"11328 S PERRY AVE, CHICAGO, IL, 60628",Bing,FALSE,11328 S PERRY AVE,11328,11328,S,PERRY,AVE,60628
11572 S FRONT AVE,60628,179822,11572 S FRONT AVE,FALSE,11572,11572,S,FRONT,AVE,"11572 S FRONT AVE, CHICAGO IL 60628",41.683155,-87.625597,"11572 S PERRY AVE, CHICAGO, IL, 60628",Bing,FALSE,11572 S PERRY AVE,11572,11572,S,PERRY,AVE,60628
1224 S KOLIN AVE,60623,187817,1224 S KOLIN AVE,FALSE,1224,1224,S,KOLIN,AVE,"1224 S KOLIN AVE, CHICAGO IL 60623",41.8654482,-87.7180739,"1224 S LAWNDALE AVE, CHICAGO, IL, 60623",Bing,FALSE,1224 S LAWNDALE AVE,1224,1224,S,LAWNDALE,AVE,60623
11632-38 S FRONT AVE,60628,223089,11632-38 S,FALSE,11632,11638,S,FRONT,AVE,"11632-38 S FRONT AVE, CHICAGO IL 60628",41.68148688,-87.62284124,"11632 S STATE ST, CHICAGO, IL, 60628",Bing,FALSE,11632 S STATE ST,11632,11632,S,STATE,ST,60628
15 E 96TH PL,60628,236919,15 E 96TH PL,FALSE,15,15,E,96TH,PL,"15 E 96TH PL, CHICAGO IL 60628",41.7097332,-87.6228843,"15 E 101ST PL, CHICAGO, IL, 60628",Bing,FALSE,15 E 101ST PL,15,15,E,101ST,PL,60628
8422-1/2 S AVENUE O,60617,355096,8422 S AVENUE O,FALSE,8422,8422,S,AVENUE O,,"8422 S AVENUE O, CHICAGO IL 60617",41.7419037,-87.573205,"8422 S SOUTH CHICAGO AVE, CHICAGO, IL, 60617",Bing,FALSE,8422 S SOUTH CHICAGO AVE,8422,8422,S,SOUTH CHICAGO,AVE,60617
8228-1/2 S AVENUE O,60617,355097,8228 S AVENUE O,FALSE,8228,8228,S,AVENUE O,,"8228 S AVENUE O, CHICAGO IL 60617",41.745226,-87.580684,"8228 S ANTHONY AVE, CHICAGO, IL, 60617",Bing,FALSE,8228 S ANTHONY AVE,8228,8228,S,ANTHONY,AVE,60617
8000-1/2 S AVENUE O,60617,355098,8000 S AVENUE O,FALSE,8000,8000,S,AVENUE O,,"8000 S AVENUE O, CHICAGO IL 60617",41.7496957,-87.5725769,"8000 S MERRILL AVE, CHICAGO, IL, 60617",Bing,FALSE,8000 S MERRILL AVE,8000,8000,S,MERRILL,AVE,60617
