street_address,zip,row,cleaned_address,is_intersection,stnum1,stnum2,stdir,stname,sttype,full_address,lat,long,matched_address,geoid,geocoder,m_is_intersection,m_street,m_stnum1,m_stnum2,m_stdir,m_stname,m_sttype,m_zip
9634 S DR MARTIN LUTHER KING JR DR,60628,57,9634 S DR MARTIN LUTHER KING JR DR,FALSE,9634,9634,S,DR MARTIN LUTHER KING JR,DR,"9634 S DR MARTIN LUTHER KING JR DR, CHICAGO IL 60628",41.71942454512,-87.614158413022,"9634 S MARTIN L KING JR DR, CHICAGO, IL, 60628",17031490500,Census Bureau,FALSE,9634 S MARTIN L KING JR DR,9634,9634,S,MARTIN L KING JR,DR, 60628
9736 S DR MARTIN LUTHER KING JR DR,60628,58,9736 S DR MARTIN LUTHER KING JR DR,FALSE,9736,9736,S,DR MARTIN LUTHER KING JR,DR,"9736 S DR MARTIN LUTHER KING JR DR, CHICAGO IL 60628",41.717562589508,-87.614107832962,"9736 S MARTIN L KING JR DR, CHICAGO, IL, 60628",17031490500,Census Bureau,FALSE,9736 S MARTIN L KING JR DR,9736,9736,S,MARTIN L KING JR,DR, 60628
9640 S DR MARTIN LUTHER KING JR DR,60628,60,9640 S DR MARTIN LUTHER KING JR DR,FALSE,9640,9640,S,DR MARTIN LUTHER KING JR,DR,"9640 S DR MARTIN LUTHER KING JR DR, CHICAGO IL 60628",41.719319704838,-87.61415540532,"9640 S MARTIN L KING JR DR, CHICAGO, IL, 60628",17031490500,Census Bureau,FALSE,9640 S MARTIN L KING JR DR,9640,9640,S,MARTIN L KING JR,DR, 60628
9646 S DR MARTIN LUTHER KING JR DR,60628,63,9646 S DR MARTIN LUTHER KING JR DR,FALSE,9646,9646,S,DR MARTIN LUTHER KING JR,DR,"9646 S DR MARTIN LUTHER KING JR DR, CHICAGO IL 60628",41.719214864555,-87.614152397617,"9646 S MARTIN L KING JR DR, CHICAGO, IL, 60628",17031490500,Census Bureau,FALSE,9646 S MARTIN L KING JR DR,9646,9646,S,MARTIN L KING JR,DR, 60628
9652 S DR MARTIN LUTHER KING JR DR,60628,78,9652 S DR MARTIN LUTHER KING JR DR,FALSE,9652,9652,S,DR MARTIN LUTHER KING JR,DR,"9652 S DR MARTIN LUTHER KING JR DR, CHICAGO IL 60628",41.719110024273,-87.614149389915,"9652 S MARTIN L KING JR DR, CHICAGO, IL, 60628",17031490500,Census Bureau,FALSE,9652 S MARTIN L KING JR DR,9652,9652,S,MARTIN L KING JR,DR, 60628
9748 S DR MARTIN LUTHER KING JR DR,60628,79,9748 S DR MARTIN LUTHER KING JR DR,FALSE,9748,9748,S,DR MARTIN LUTHER KING JR,DR,"9748 S DR MARTIN LUTHER KING JR DR, CHICAGO IL 60628",41.717352909673,-87.614101767864,"9748 S MARTIN L KING JR DR, CHICAGO, IL, 60628",17031490500,Census Bureau,FALSE,9748 S MARTIN L KING JR DR,9748,9748,S,MARTIN L KING JR,DR, 60628
9758 S DR MARTIN LUTHER KING JR DR,60628,80,9758 S DR MARTIN LUTHER KING JR DR,FALSE,9758,9758,S,DR MARTIN LUTHER KING JR,DR,"9758 S DR MARTIN LUTHER KING JR DR, CHICAGO IL 60628",41.717178176477,-87.614096713616,"9758 S MARTIN L KING JR DR, CHICAGO, IL, 60628",17031490500,Census Bureau,FALSE,9758 S MARTIN L KING JR DR,9758,9758,S,MARTIN L KING JR,DR, 60628
9816 S DR MARTIN LUTHER KING JR DR,60628,82,9816 S DR MARTIN LUTHER KING JR DR,FALSE,9816,9816,S,DR MARTIN LUTHER KING JR,DR,"9816 S DR MARTIN LUTHER KING JR DR, CHICAGO IL 60628",41.716086735931,-87.614068131144,"9816 S MARTIN L KING JR DR, CHICAGO, IL, 60628",17031490500,Census Bureau,FALSE,9816 S MARTIN L KING JR DR,9816,9816,S,MARTIN L KING JR,DR, 60628
9854 S DR MARTIN LUTHER KING JR DR,60628,86,9854 S DR MARTIN LUTHER KING JR DR,FALSE,9854,9854,S,DR MARTIN LUTHER KING JR,DR,"9854 S DR MARTIN LUTHER KING JR DR, CHICAGO IL 60628",41.715426066957,-87.614054631352,"9854 S MARTIN L KING JR DR, CHICAGO, IL, 60628",17031490500,Census Bureau,FALSE,9854 S MARTIN L KING JR DR,9854,9854,S,MARTIN L KING JR,DR, 60628
9546 S DR MARTIN LUTHER KING JR DR,60628,92,9546 S DR MARTIN LUTHER KING JR DR,FALSE,9546,9546,S,DR MARTIN LUTHER KING JR,DR,"9546 S DR MARTIN LUTHER KING JR DR, CHICAGO IL 60628",41.720774662431,-87.614192431112,"9546 S MARTIN L KING JR DR, CHICAGO, IL, 60628",17031490500,Census Bureau,FALSE,9546 S MARTIN L KING JR DR,9546,9546,S,MARTIN L KING JR,DR, 60628
9828 S DR MARTIN LUTHER KING JR DR,60628,104,9828 S DR MARTIN LUTHER KING JR DR,FALSE,9828,9828,S,DR MARTIN LUTHER KING JR,DR,"9828 S DR MARTIN LUTHER KING JR DR, CHICAGO IL 60628",41.715878463644,-87.614064236738,"9828 S MARTIN L KING JR DR, CHICAGO, IL, 60628",17031490500,Census Bureau,FALSE,9828 S MARTIN L KING JR DR,9828,9828,S,MARTIN L KING JR,DR, 60628
9810 S DR MARTIN LUTHER KING JR DR,60628,111,9810 S DR MARTIN LUTHER KING JR DR,FALSE,9810,9810,S,DR MARTIN LUTHER KING JR,DR,"9810 S DR MARTIN LUTHER KING JR DR, CHICAGO IL 60628",41.716191016916,-87.614070738158,"9810 S MARTIN L KING JR DR, CHICAGO, IL, 60628",17031490500,Census Bureau,FALSE,9810 S MARTIN L KING JR DR,9810,9810,S,MARTIN L KING JR,DR, 60628
9548 S DR MARTIN LUTHER KING JR DR,60628,150,9548 S DR MARTIN LUTHER KING JR DR,FALSE,9548,9548,S,DR MARTIN LUTHER KING JR,DR,"9548 S DR MARTIN LUTHER KING JR DR, CHICAGO IL 60628",41.720750000518,-87.614191854901,"9548 S MARTIN L KING JR DR, CHICAGO, IL, 60628",17031490500,Census Bureau,FALSE,9548 S MARTIN L KING JR DR,9548,9548,S,MARTIN L KING JR,DR, 60628
9850 S DR MARTIN LUTHER KING JR DR,60628,154,9850 S DR MARTIN LUTHER KING JR DR,FALSE,9850,9850,S,DR MARTIN LUTHER KING JR,DR,"9850 S DR MARTIN LUTHER KING JR DR, CHICAGO IL 60628",41.715495582966,-87.614056675934,"9850 S MARTIN L KING JR DR, CHICAGO, IL, 60628",17031490500,Census Bureau,FALSE,9850 S MARTIN L KING JR DR,9850,9850,S,MARTIN L KING JR,DR, 60628
