row,full_address,is_intersection,stnum1,stnum2,stdir,stname,sttype,zip,lat,long,notes1,notes2
130453,"4950 W 39TH ST, CHICAGO IL 60402",FALSE,4950,4950,W,39TH,ST,60402,41.8199692,-87.8130246,Non-Chicago address,Non-precise address
130463,"5950 W 49TH ST, CHICAGO IL 60402",FALSE,5950,5950,W,49TH,ST,60402,41.8038691,-87.7728802,Non-residential address,
130486,"5052-54 S LOTUS, CHICAGO IL 60402",FALSE,5052,5054,S,LOTUS,,60402,41.8004033,-87.7617368,Exact,
130871,"10300 S STATE LINE ROAD, CHICAGO IL 60633",FALSE,10300,10300,S,STATE LINE ROAD,,60633,41.676724,-87.5433019,Non-precise address,
131172,"S LOOMIS, CHICAGO IL 60607",FALSE,,,S,LOOMIS,,60607,,,Incomplete address,
131173,"S HALSTED ST, CHICAGO IL 60608",FALSE,,,S,HALSTED,ST,60608,,,Incomplete address,
131180,"S CALIFORNIA AVE, CHICAGO IL 60647",FALSE,,,S,CALIFORNIA,AVE,60647,,,Incomplete address,
131190,"S KEELER, CHICAGO IL 60624",FALSE,,,S,KEELER,,60624,,,Incomplete address,
131191,"S LAVERGNE, CHICAGO IL 60402",FALSE,,,S,LAVERGNE,,60402,,,Incomplete address,
131192,"S KOSTNER, CHICAGO IL 60623",FALSE,,,S,KOSTNER,,60623,,,Incomplete address,
131193,"S CENTRAL AVE, CHICAGO IL 60201",FALSE,,,S,CENTRAL,AVE,60201,,,Incomplete address,
146728,"9830 S GREEN BAY AVE, CHICAGO IL 60617",FALSE,9830,9830,S,GREEN BAY,AVE,60617,41.7081933,-87.5419988,Non-precise address,
146741,"10550 S PULASKI RD, CHICAGO IL 60655",FALSE,10550,10550,S,PULASKI,RD,60655,41.7007085,-87.7236804,Non-Chicago address,
147106,"400-40 W 40TH ST, CHICAGO IL 60609",FALSE,400,440,W,40TH,ST,60609,41.821643,-87.6557809,Non-precise address,
148112,"6722 W ALBION AVE, CHICAGO IL 60631",FALSE,6722,6722,W,ALBION,AVE,60631,42.0011312,-87.798985,Non-Chicago address,
148113,"6728 W ALBION AVE, CHICAGO IL 60631",FALSE,6728,6728,W,ALBION,AVE,60631,42.0007515,-87.8032786,Non-Chicago address,
148420,"510 N NORTHWEST HWY, CHICAGO IL 60631",FALSE,510,510,N,NORTHWEST,HWY,60631,42.017817,-87.8436398,Non-Chicago address,
166228,"6410 N PARIS AVE, CHICAGO IL 60634",FALSE,6410,6410,N,PARIS,AVE,60634,41.951985,-87.8306668,Non-precise address,
218921,"600 E RANDOLPH ST, CHICAGO IL 60602",FALSE,600,600,E,RANDOLPH,ST,60602,41.8844546,-87.6157153,Non-precise address,
219907,"10558 S PULASKI RD, CHICAGO IL 60655",FALSE,10558,10558,S,PULASKI,RD,60655,41.7005859,-87.7237795,Non-Chicago address,
219996,"S ASHLAND AVE, CHICAGO IL 60608",FALSE,,,S,ASHLAND,AVE,60608,,,Incomplete address,
220042,"W CONGRESS & CHICAGO RIVER, CHICAGO IL 60607",TRUE,,,,,,60607,41.8748135,-87.6389059,Intersection,
220047,"W MADISON ST & CHICAGO RIVER, CHICAGO IL 60606",TRUE,,,,,,60606,41.8815109,-87.6403351,Intersection,
220048,"W JACKSON BRIDGE, CHICAGO IL 60606",FALSE,,,W,JACKSON BRIDGE,,60606,,,Incomplete address,
221669,"E 59TH ST & I C RR, CHICAGO IL 60637",TRUE,,,,,,60637,,,Incomplete address,
224863,"S WACKER DR, CHICAGO IL 60699",FALSE,,,S,WACKER,DR,60699,,,Incomplete address,
224864,"S WACKER DR, CHICAGO IL 60699",FALSE,,,S,WACKER,DR,60699,,,Incomplete address,
225097,"E 64TH ST & LAKE SHORE DR, CHICAGO IL 60637",TRUE,,,,,,60637,,,Incomplete address,
225125,"E NORTH WATER, CHICAGO IL 60611",FALSE,,,E,NORTH WATER,,60611,,,Incomplete address,
226870,"6724 W ALBION AVE, CHICAGO IL 60631",FALSE,6724,6724,W,ALBION,AVE,60631,42.0011334,-87.7991002,Non-Chicago address,
226871,"6734 W ALBION AVE, CHICAGO IL 60631",FALSE,6734,6734,W,ALBION,AVE,60631,42.0011612,-87.799542,Non-Chicago address,
227464,"W LOGAN & N KIMBALL, CHICAGO IL 60647",TRUE,,,,,,60647,41.9279225,-87.7122453,Intersection,
236906,"S LAKE SHORE DR & 39TH ST, CHICAGO IL 60653",TRUE,,,,,,60653,41.8258724,-87.6053285,Intersection,
236911,"S LAKE SHORE & 39TH ST, CHICAGO IL 60653",TRUE,,,,,,60653,41.8258724,-87.6053285,Intersection,
236912,"S LAKE SHORE DR & 39TH ST, CHICAGO IL 60653",TRUE,,,,,,60653,41.8258724,-87.6053285,Intersection,
347134,"428 E MIDWAY PLAISANCE, CHICAGO IL 60644",FALSE,428,428,E,MIDWAY PLAISANCE,,60644,41.7870646,-87.5979438,Non-residential address,Non-precise address
347195,"6420 N KEDZIE AVE, CHICAGO IL 60645",FALSE,6420,6420,N,KEDZIE,AVE,60645,41.9981264,-87.7123948,Non-residential address,
348684,"S LAKE SHORE DR & BOND DR, CHICAGO IL 60605",TRUE,,,,,,60605,,,Incomplete address,
348738,"E 77TH ST & LAKE MICHIGAN, CHICAGO IL 60649",TRUE,,,,,,60649,41.7557335,-87.5602993,Intersection,Non-precise address
348739,"E 78TH ST & LAKE MICHIGAN, CHICAGO IL 60649",TRUE,,,,,,60649,41.7557335,-87.5602993,Intersection,Non-precise address
348802,"W 58TH ST & S KOLIN, CHICAGO IL 60629",TRUE,,,,,,60629,41.7889268,-87.7341103,Intersection,Non-precise address
348857,"E 39TH ST & LAKE SHORE DR, CHICAGO IL 60616",TRUE,,,,,,60616,41.8240143,-87.6040558,Intersection,Non-precise address
349070,"S LAKE SHORE DR & 23RD, CHICAGO IL 60605",TRUE,,,,,,60605,41.8502475,-87.615931,Intersection,
350546,"13510-16 S BENSLEY AVE, CHICAGO IL 60633",FALSE,13510,13516,S,BENSLEY,AVE,60633,41.6389304,-87.5657399,Non-Chicago address,Non-precise address
