row,full_address,is_intersection,stnum1,stnum2,stdir,stname,sttype,zip,geocoder,lat,long,geoid,m_is_intersection,m_stnum1,m_stnum2,m_stdir,m_stname,m_zip
130002,"5852 W 51ST ST, CHICAGO IL 60638",FALSE,5852,5852,W,51ST,ST,60638,Census Bureau,41.800002447596,-87.769402935138,17031820800,FALSE,5852,5852,W,51ST, 60638
130401,"5203 W 47TH ST, CHICAGO IL 60638",FALSE,5203,5203,W,47TH,ST,60638,Census Bureau,41.80743686966,-87.753086874769,17031820800,FALSE,5203,5203,W,47TH, 60638
130402,"5330 W 47TH ST, CHICAGO IL 60402",FALSE,5330,5330,W,47TH,ST,60402,Census Bureau,41.807513666608,-87.755778717752,17031820800,FALSE,5330,5330,W,47TH, 60638
130403,"5400 W 47TH ST, CHICAGO IL 60402",FALSE,5400,5400,W,47TH,ST,60402,Census Bureau,41.807487480212,-87.757911380368,17031820800,FALSE,5400,5400,W,47TH, 60638
130404,"5401 W 47TH ST, CHICAGO IL 60402",FALSE,5401,5401,W,47TH,ST,60402,Census Bureau,41.80737290533,-87.757908770049,17031820800,FALSE,5401,5401,W,47TH, 60638
130405,"5401 W 47TH ST, CHICAGO IL 60402",FALSE,5401,5401,W,47TH,ST,60402,Census Bureau,41.80737290533,-87.757908770049,17031820800,FALSE,5401,5401,W,47TH, 60638
130406,"5440 W 47TH ST, CHICAGO IL 60402",FALSE,5440,5440,W,47TH,ST,60402,Census Bureau,41.80747725402,-87.758719253031,17031820800,FALSE,5440,5440,W,47TH, 60638
130407,"5448 W 47TH ST, CHICAGO IL 60402",FALSE,5448,5448,W,47TH,ST,60402,Census Bureau,41.807475208781,-87.758880827564,17031820800,FALSE,5448,5448,W,47TH, 60638
130408,"5500 W 47TH ST, CHICAGO IL 60402",FALSE,5500,5500,W,47TH,ST,60402,Census Bureau,41.807460446336,-87.760044423774,17031820800,FALSE,5500,5500,W,47TH, 60638
130409,"5504 W 47TH ST, CHICAGO IL 60402",FALSE,5504,5504,W,47TH,ST,60402,Census Bureau,41.8074590591,-87.760150374365,17031820800,FALSE,5504,5504,W,47TH, 60638
130410,"6050 W 51ST ST, CHICAGO IL 60638",FALSE,6050,6050,W,51ST,ST,60638,Census Bureau,41.79987640264,-87.774388939591,17031820800,FALSE,6050,6050,W,51ST, 60638
130411,"4901 S AUSTIN AVE, CHICAGO IL 60402",FALSE,4901,4901,S,AUSTIN,AVE,60402,Census Bureau,41.802338468036,-87.77228698285,17031820800,FALSE,4901,4901,S,AUSTIN, 60638
130412,"4924 S AUSTIN AVE, CHICAGO IL 60402",FALSE,4924,4924,S,AUSTIN,AVE,60402,Census Bureau,41.802044682192,-87.772430686346,17031820800,FALSE,4924,4924,S,AUSTIN, 60638
130413,"6000 W 51ST ST, CHICAGO IL 60638",FALSE,6000,6000,W,51ST,ST,60638,Census Bureau,41.799934549755,-87.772358792825,17031820800,FALSE,6000,6000,W,51ST, 60638
130414,"4655 S CENTRAL AVE, CHICAGO IL 60402",FALSE,4655,4655,S,CENTRAL,AVE,60402,Census Bureau,41.808055424973,-87.762655037633,17031820800,FALSE,4655,4655,S,CENTRAL, 60638
130416,"3633 W 116TH PL, CHICAGO IL 60655",FALSE,3633,3633,W,116TH,PL,60655,Census Bureau,41.681301889038,-87.711654461603,17031823304,FALSE,3633,3633,W,116TH, 60655
130418,"3641 W 116TH PL, CHICAGO IL 60655",FALSE,3641,3641,W,116TH,PL,60655,Census Bureau,41.681301889041,-87.711711740408,17031823304,FALSE,3641,3641,W,116TH, 60803
130420,"3702 W 116TH PL, CHICAGO IL 60655",FALSE,3702,3702,W,116TH,PL,60655,Census Bureau,41.68139808401,-87.71274330318,17031823304,FALSE,3702,3702,W,116TH, 60803
